id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,01,01,11,01,100.0,554.0,46.0,54.0,56.00000000000001,22.0,87.0,23.0,102.0,21.0,21.0,20.0,96.0,19.0,36.0,301.0,105.0,61.0,22.0,428.0,77.0,37.0,249.00000000000003,13.0,53.0,16.0,41.0,69.0
01011102,01,01,11,02,100.0,35.0,3.0,0.0,3.0,0.0,7.000000000000001,4.0,6.0,0.0,3.0,0.0,3.0,0.0,3.0,6.0,3.0,0.0,0.0,12.0,0.0,3.0,9.0,3.0,3.0,0.0,9.0,0.0
01011103,01,01,11,03,100.0,1024.0,145.0,37.0,102.0,24.0,40.0,49.0,200.0,83.0,127.0,34.0,177.0,22.0,78.0,415.00000000000006,178.0,88.0,25.0,944.9999999999999,324.0,62.0,366.0,49.0,91.0,42.0,40.0,99.0
01011104,01,01,11,04,100.0,726.0,103.0,48.0,95.0,26.0,51.0,36.0,120.0,64.0,26.0,13.0,102.0,46.0,15.0,307.0,126.0,76.0,10.0,1350.0,425.0,71.0,670.0,206.0,100.0,23.0,50.0,182.0
01011105,01,01,11,05,100.0,182.0,12.0,12.0,25.0,9.0,16.0,9.0,42.0,7.000000000000001,10.0,7.000000000000001,17.0,0.0,7.000000000000001,189.0,103.0,30.0,12.0,229.99999999999997,30.0,3.0,147.0,7.000000000000001,6.0,0.0,33.0,25.0
01011201,01,01,12,01,100.0,363.0,37.0,3.0,39.0,15.0,25.0,15.0,18.0,86.0,38.0,9.0,27.0,0.0,9.0,305.0,144.0,87.0,6.0,279.0,44.0,28.999999999999996,167.0,26.0,10.0,52.0,28.000000000000004,36.0
01011202,01,01,12,02,100.0,143.0,19.0,6.0,13.0,19.0,9.0,9.0,4.0,3.0,27.0,3.0,16.0,0.0,7.000000000000001,39.0,24.0,6.0,0.0,12.0,3.0,0.0,6.0,0.0,0.0,0.0,26.0,3.0
01011203,01,01,12,03,100.0,199.0,11.0,13.0,19.0,18.0,15.0,20.0,21.0,14.000000000000002,15.0,0.0,3.0,0.0,3.0,212.0,133.0,16.0,3.0,57.99999999999999,15.0,3.0,19.0,0.0,3.0,10.0,22.0,12.0
01011204,01,01,12,04,100.0,1251.0,93.0,65.0,107.0,66.0,90.0,86.0,202.99999999999997,231.99999999999997,31.0,24.0,102.0,20.0,28.000000000000004,757.0,391.0,113.99999999999999,45.0,776.0,183.0,24.0,401.0,32.0,146.0,129.0,99.0,100.0
01011301,01,01,13,01,100.0,1265.0,144.0,40.0,107.0,118.0,112.99999999999999,105.0,162.0,51.0,78.0,27.0,79.0,18.0,19.0,393.0,194.0,59.0,28.999999999999996,382.0,89.0,57.99999999999999,140.0,0.0,30.0,25.0,166.0,47.0
