id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01100101,01,10,01,01,100.0,567.0,48.0,60.0,77.0,22.0,81.0,104.0,35.0,13.0,18.0,30.0,90.0,10.0,30.0,459.0,136.0,184.0,22.0,438.99999999999994,107.0,43.0,200.0,13.0,33.0,10.0,52.0,78.0
01100102,01,10,01,02,100.0,335.0,24.0,14.000000000000002,54.0,42.0,30.0,56.00000000000001,27.0,16.0,6.0,41.0,34.0,6.0,13.0,331.0,175.0,109.00000000000001,18.0,380.0,57.99999999999999,39.0,224.00000000000003,12.0,19.0,3.0,55.00000000000001,30.0
01100103,01,10,01,03,100.0,994.9999999999999,132.0,42.0,96.0,28.999999999999996,57.99999999999999,225.0,62.0,147.0,28.999999999999996,71.0,145.0,25.0,57.99999999999999,534.0,197.0,174.0,55.00000000000001,944.9999999999999,321.0,86.0,364.0,50.0,97.0,39.0,76.0,129.0
01100104,01,10,01,04,100.0,626.0,77.0,31.0,92.0,39.0,46.0,84.0,57.99999999999999,47.0,32.0,61.0,112.00000000000001,39.0,26.0,401.0,144.0,152.0,9.0,1338.0,409.99999999999994,71.0,668.0,159.0,141.0,34.0,57.99999999999999,235.0
01100205,01,10,02,05,100.0,469.00000000000006,33.0,21.0,52.0,18.0,41.0,30.0,131.0,17.0,18.0,28.000000000000004,49.0,9.0,12.0,488.99999999999994,259.0,136.0,9.0,393.0,69.0,33.0,223.0,28.000000000000004,27.0,44.0,52.0,36.0
01100206,01,10,02,06,100.0,276.0,27.0,18.0,44.0,25.0,19.0,30.0,22.0,9.0,9.0,43.0,34.0,4.0,15.0,337.0,171.0,87.0,19.0,147.0,56.99999999999999,6.0,40.0,4.0,7.000000000000001,21.0,59.0,22.0
01100207,01,10,02,07,100.0,1252.0,94.0,46.0,127.0,83.0,87.0,214.0,196.0,91.0,21.0,85.0,123.0,27.0,43.0,1251.0,682.0,283.0,45.0,1024.0,211.0,68.0,552.0,62.0,193.0,177.0,140.0,150.0
01100308,01,10,03,08,100.0,1229.0,139.0,46.0,126.0,110.00000000000001,117.0,171.0,53.0,102.0,26.0,132.0,91.0,9.0,27.0,620.0,243.00000000000003,202.0,25.0,511.00000000000006,120.0,56.00000000000001,184.0,11.0,25.0,52.0,208.0,59.0
01100309,01,10,03,09,100.0,1857.0,268.0,79.0,339.0,140.0,165.0,242.0,100.0,62.0,43.0,254.0,167.0,21.0,51.0,735.0,330.0,235.0,27.0,831.0,231.0,81.0,353.0,15.0,114.99999999999999,87.0,385.0,97.0
01100310,01,10,03,10,100.0,1455.0,152.0,70.0,206.0,91.0,137.0,200.0,107.0,75.0,30.0,156.0,119.0,9.0,41.0,726.0,287.0,224.00000000000003,26.0,1193.0,222.00000000000003,86.0,666.0,53.0,222.00000000000003,347.0,209.0,134.0
